DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2016,102362,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2017,102233,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2018,102299,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2019,104080,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2020,72959,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,ES,2021,89862,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2013,5334,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2014,5299,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2015,5185,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2016,4752,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2017,4432,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2018,4312,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2019,4002,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2020,3608,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FI,2021,3243,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2013,56812,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2014,58191,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2015,56600,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2016,57515,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2017,58609,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2018,55762,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2019,56006,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2020,45117,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,FR,2021,53521,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2013,11228,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2014,10607,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2015,11038,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2016,10779,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2017,10939,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2018,10450,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2019,9694,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2020,7709,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HR,2021,9146,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2013,15691,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2014,15847,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2015,16331,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2016,16627,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2017,16489,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2018,16951,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2019,16627,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2020,13778,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,HU,2021,14233,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2013,4976,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2014,5796,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2015,5831,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2016,5877,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2017,6004,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2018,6057,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2019,0,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2020,0,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IE,2021,0,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2013,822,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2014,808,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2015,912,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2016,986,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2017,952,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2018,868,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2019,770,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2020,727,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IS,2021,873,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2013,181660,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2014,177031,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2015,174539,
ESTAT:TRAN_SF_ROADNU(1.0),20/06/23 11:00:00,A,NR,IT,2016,175791,
