DATAFLOW,LAST UPDATE,freq,unit,tra_infr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,DK,2021,11,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2012,57,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2013,79,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2014,56,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2015,53,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2016,45,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2017,54,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2018,61,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2019,50,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2020,34,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EL,2021,38,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2012,297,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2013,290,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2014,289,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2015,277,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2016,327,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2017,308,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2018,323,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2019,340,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2020,224,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,ES,2021,316,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2012,1830,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2013,1863,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2014,1745,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2015,1926,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2016,1920,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2017,1977,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2018,2020,
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2019,1932,p
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2020,1468,p
ESTAT:TRAN_SF_ROADRO(1.0),20/06/23 11:00:00,A,NR,MWAY,EU27_2020,2021,1728,p
